Model Adı,Sıra,Açıklama,Puan
tfidf_lemmatized,1,ntc short circuit open circuit...,
tfidf_lemmatized,2,ntc short circuit open circuit...,
tfidf_lemmatized,3,ntc short circuit open circuit...,
tfidf_lemmatized,4,circuit open circuit...,
tfidf_lemmatized,5,adblue temperature sensor open circuit short circu...,
tfidf_stemmed,1,ntc short circuit open circuit...,
tfidf_stemmed,2,ntc short circuit open circuit...,
tfidf_stemmed,3,ntc short circuit open circuit...,
tfidf_stemmed,4,circuit open circuit...,
tfidf_stemmed,5,adblu temperatur sensor open circuit short circuit...,
word2vec_lemmatized_cbow_win2_dim100,1,turbocharger rpm sensor short circuit positive ope...,
word2vec_lemmatized_cbow_win2_dim100,2,ntc short circuit open circuit...,
word2vec_lemmatized_cbow_win2_dim100,3,ntc short circuit open circuit...,
word2vec_lemmatized_cbow_win2_dim100,4,ntc short circuit open circuit...,
word2vec_lemmatized_cbow_win2_dim100,5,adblue pressure sensor short circuit positive open...,
word2vec_lemmatized_cbow_win2_dim300,1,ambient air temperature sensor open circuit short ...,
word2vec_lemmatized_cbow_win2_dim300,2,ntc short circuit open circuit...,
word2vec_lemmatized_cbow_win2_dim300,3,ntc short circuit open circuit...,
word2vec_lemmatized_cbow_win2_dim300,4,ntc short circuit open circuit...,
word2vec_lemmatized_cbow_win2_dim300,5,turbocharger rpm sensor short circuit positive ope...,
word2vec_lemmatized_cbow_win4_dim100,1,turbocharger rpm sensor short circuit positive ope...,
word2vec_lemmatized_cbow_win4_dim100,2,air humidity sensor short circuit positive open ci...,
word2vec_lemmatized_cbow_win4_dim100,3,adblue pressure sensor short circuit positive open...,
word2vec_lemmatized_cbow_win4_dim100,4,transmission input speed sensor open circuit short...,
word2vec_lemmatized_cbow_win4_dim100,5,nox sensor short circuit positiveopen circuit...,
word2vec_lemmatized_cbow_win4_dim300,1,air humidity sensor short circuit positive open ci...,
word2vec_lemmatized_cbow_win4_dim300,2,nox sensor short circuit positiveopen circuit...,
word2vec_lemmatized_cbow_win4_dim300,3,turbocharger rpm sensor short circuit positive ope...,
word2vec_lemmatized_cbow_win4_dim300,4,adblue pressure sensor short circuit positive open...,
word2vec_lemmatized_cbow_win4_dim300,5,adblue temperature sensor open circuit short circu...,
word2vec_lemmatized_skipgram_win2_dim100,1,nox sensor short circuit ground...,
word2vec_lemmatized_skipgram_win2_dim100,2,air humidity sensor short circuit positive open ci...,
word2vec_lemmatized_skipgram_win2_dim100,3,sensor supply voltage short circuit ground...,
word2vec_lemmatized_skipgram_win2_dim100,4,sensor supply voltage short circuit ground...,
word2vec_lemmatized_skipgram_win2_dim100,5,sensor supply voltage short circuit ground...,
word2vec_lemmatized_skipgram_win2_dim300,1,nox sensor short circuit ground...,
word2vec_lemmatized_skipgram_win2_dim300,2,air humidity sensor short circuit positive open ci...,
word2vec_lemmatized_skipgram_win2_dim300,3,ambient air temperature sensor open circuit short ...,
word2vec_lemmatized_skipgram_win2_dim300,4,adblue pressure sensor short circuit positive open...,
word2vec_lemmatized_skipgram_win2_dim300,5,transmission input speed sensor open circuit short...,
word2vec_lemmatized_skipgram_win4_dim100,1,sensor supply voltage short circuit ground...,
word2vec_lemmatized_skipgram_win4_dim100,2,sensor supply voltage short circuit ground...,
word2vec_lemmatized_skipgram_win4_dim100,3,sensor supply voltage short circuit ground...,
word2vec_lemmatized_skipgram_win4_dim100,4,sensor supply voltage short circuit ground...,
word2vec_lemmatized_skipgram_win4_dim100,5,sensor supply voltage short circuit ground...,
word2vec_lemmatized_skipgram_win4_dim300,1,sensor supply voltage short circuit ground...,
word2vec_lemmatized_skipgram_win4_dim300,2,sensor supply voltage short circuit ground...,
word2vec_lemmatized_skipgram_win4_dim300,3,sensor supply voltage short circuit ground...,
word2vec_lemmatized_skipgram_win4_dim300,4,sensor supply voltage short circuit ground...,
word2vec_lemmatized_skipgram_win4_dim300,5,sensor supply voltage short circuit ground...,
word2vec_stemmed_cbow_win2_dim100,1,ntc short circuit open circuit...,
word2vec_stemmed_cbow_win2_dim100,2,ntc short circuit open circuit...,
