Markası,Hata Kodu,Aciklama
Arcelik,H1,NTC sensor short circuit or open circuit
Arcelik,H2,Heater short circuit
Arcelik,H3,Heater continuously operating
Arcelik,H4,Continuous water intake error
Arcelik,H5,Water drainage error
Arcelik,H6,Motor triac short circuit
Arcelik,H7,Water level sensor error
Arcelik,H11,Motor open circuit
Arcelik,H12,Aqua stop failure
Arcelik,H13,Rinse sensor
Arcelik,E01,NTC short circuit or open circuit
Arcelik,E02,Heater short circuit
Arcelik,E03,Heater continuously operating
Arcelik,E04,Valve short circuit
Arcelik,E05,Pump not draining water
Arcelik,E06,Motor short circuit
Arcelik,E07,Water level sensor faulty
Arcelik,E08,Pump short circuit
Arcelik,E09,Door lock open circuit
Arcelik,E10,Door lock short circuit
Arcelik,E11,Motor windings open circuit
Arcelik,E12,Aqua stop failure
Arcelik,E13,Motor module or communication cable faulty
Arcelik,E14,Jet pump open circuit
Arcelik,E15,Flow meter open short circuit
Arcelik,E16,Rinse sensor short circuit
Arcelik,E17,Laundry remains foamy
Arcelik,E18,Unbalanced load in the machine
Arcelik,E21,Safe water drainage level activated
Arcelik,E22,Communication cable fault between LCD board and main board
Arcelik,E23,Door switch not working
Arcelik,E24,Load sensor not working
Arcelik,E25,Communication cable fault between control panel and main board
Arcelik,E26,Main board cannot be written or read
Arcelik,E27,Level sensor control and flow meter control
Arcelik,E29,Mains voltage out of limits
Arcelik,E30,NTC short circuit or open circuit
Arcelik,E33,Air duct open or flap closed
Arcelik,E34,No communication with D sensor
Arcelik,E35,Drying heater open circuit
Arcelik,E37,Overheating in the drum
Arcelik,E39,Overheating at condenser inlet
Arcelik,E40,Overheating at condenser outlet
Arcelik,F01,NTC short circuit or open circuit
Arcelik,F02,Heater short circuit
Arcelik,F03,Heater continuously operating
Arcelik,F04,Valve triac short circuit
Arcelik,F05,Pump not draining water
Arcelik,F06,Motor triac short circuit
Arcelik,F07,Water level sensor faulty
Arcelik,F08,Pump short circuit
Arcelik,F09,Door lock open circuit
Arcelik,F10,Door triac short circuit
Arcelik,F11,Motor triac open circuit
Samsung,4E,Water source error + A2:A13
Samsung,HE,Water temperature sensor error
Samsung,LE,Water level error
Samsung,OE,Water drainage error
Samsung,FE,Water supply error
Samsung,CE,Electrical error
Samsung,E2,Water temperature high
Samsung,E3,Water temperature low
Samsung,E4,Water heating error
Samsung,E5,Door open
Samsung,E6,Water filling error
Samsung,E7,Water pressure error
Samsung,E8,Water leakage error
Asansor,E0,Elevator height limit exceeded
Asansor,E1,Door not opened or attempted to move with door open
Asansor,E2,Elevator does not move in overload condition
Asansor,E3,Brake not released or brake system error
Asansor,E4,Jerk occurred during sudden stop
Asansor,E5,Vibration during deceleration or stopping
Asansor,E6,Elevator stopped moving and an error occurred in the control unit
Asansor,E7,Power supply error in the elevator
Asansor,E8,Elevator does not operate in excessively high temperature
Asansor,E9,Cabin door lock system faulty
ABB Sürücü,4001,Driver fan error
ABB Sürücü,4002,Internal temperature error
ABB Sürücü,4003,Control supply error
ABB Sürücü,4004,Input phase error
ABB Sürücü,4005,Capacitor voltage error
ABB Sürücü,4006,Output phase error
ABB Sürücü,4007,Driver overheating error
ABB Sürücü,4008,DC overvoltage error
ABB Sürücü,4009,AC overvoltage error
ABB Sürücü,4010,DC overcurrent error
ABB Sürücü,4011,AC overcurrent error
ABB Sürücü,4012,Brake error
ABB Sürücü,4013,Encoder error
ABB Sürücü,4014,Low DC voltage error
ABB Sürücü,4015,Line frequency error
ABB Sürücü,4016,Internal communication error
ABB Sürücü,4017,Software error
ABB Sürücü,4018,Input signal error
ABB Sürücü,4019,Output signal error
ABB Sürücü,4020,Output overload error
ABB Sürücü,4021,Driver overvoltage error
ABB Sürücü,4022,Driver undervoltage error
ABB Sürücü,4023,DC voltage error
ABB Sürücü,4024,DC current error
ABB Sürücü,4025,Driver overload error
ABB Sürücü,3601,Internal thermal protection triggered
ABB Sürücü,3602,External thermal protection triggered
ABB Sürücü,3603,Motor protection triggered
ABB Sürücü,3604,Temperature sensor error
ABB Sürücü,3605,Fan failure
ABB Sürücü,3606,Processor failure
ABB Sürücü,3607,DC bus voltage high
ABB Sürücü,3608,DC bus voltage low
ABB Sürücü,3609,Input phase loss
ABB Sürücü,3610,Input voltage high
ABB Sürücü,3611,Input voltage low
ABB Sürücü,3612,Output phase loss
ABB Sürücü,3613,Output overcurrent
ABB Sürücü,3614,DC current high
ABB Sürücü,3615,Excessive torque
ABB Sürücü,3616,Software error
ABB Sürücü,3617,Hardware error
ABB Sürücü,3618,Module error
ABB Sürücü,3619,Communication error
ABB Sürücü,3620,Power supply error
ABB Sürücü,2021,Temperature sensor error
ABB Sürücü,2022,Fan failure
ABB Sürücü,2023,Input phase loss
ABB Sürücü,2024,Input voltage high
ABB Sürücü,2025,Input voltage low
ABB Sürücü,2026,Output phase loss
ABB Sürücü,2027,Output overcurrent
