Arıza Detayı,lemmatized_text
NTC sensor short circuit or open circuit,ntc sensor short circuit open circuit
Heater short circuit,heater short circuit
Heater continuously operating,heater continuously operating
Continuous water intake error,continuous water intake error
Water drainage error,water drainage error
Motor triac short circuit,motor triac short circuit
Water level sensor error,water level sensor error
Motor open circuit,motor open circuit
Aqua stop failure,aqua stop failure
Rinse sensor,rinse sensor
NTC short circuit or open circuit,ntc short circuit open circuit
Heater short circuit,heater short circuit
Heater continuously operating,heater continuously operating
Valve short circuit,valve short circuit
Pump not draining water,pump draining water
Motor short circuit,motor short circuit
Water level sensor faulty,water level sensor faulty
Pump short circuit,pump short circuit
Door lock open circuit,door lock open circuit
Door lock short circuit,door lock short circuit
Motor windings open circuit,motor winding open circuit
Aqua stop failure,aqua stop failure
Motor module or communication cable faulty,motor module communication cable faulty
Jet pump open circuit,jet pump open circuit
Flow meter open short circuit,flow meter open short circuit
Rinse sensor short circuit,rinse sensor short circuit
Laundry remains foamy,laundry remains foamy
Unbalanced load in the machine,unbalanced load machine
Safe water drainage level activated,safe water drainage level activated
Communication cable fault between LCD board and main board,communication cable fault lcd board main board
Door switch not working,door switch working
Load sensor not working,load sensor working
Communication cable fault between control panel and main board,communication cable fault control panel main board
Main board cannot be written or read,main board written read
Level sensor control and flow meter control,level sensor control flow meter control
Mains voltage out of limits,main voltage limit
NTC short circuit or open circuit,ntc short circuit open circuit
Air duct open or flap closed,air duct open flap closed
No communication with D sensor,communication sensor
Drying heater open circuit,drying heater open circuit
Overheating in the drum,overheating drum
Overheating at condenser inlet,overheating condenser inlet
Overheating at condenser outlet,overheating condenser outlet
NTC short circuit or open circuit,ntc short circuit open circuit
Heater short circuit,heater short circuit
Heater continuously operating,heater continuously operating
Valve triac short circuit,valve triac short circuit
Pump not draining water,pump draining water
Motor triac short circuit,motor triac short circuit
Water level sensor faulty,water level sensor faulty
Pump short circuit,pump short circuit
Door lock open circuit,door lock open circuit
Door triac short circuit,door triac short circuit
Motor triac open circuit,motor triac open circuit
Water source error + A2:A13,water source error
Water temperature sensor error,water temperature sensor error
Water level error,water level error
Water drainage error,water drainage error
Water supply error,water supply error
Electrical error,electrical error
Water temperature high,water temperature high
Water temperature low,water temperature low
Water heating error,water heating error
Door open,door open
Water filling error,water filling error
Water pressure error,water pressure error
Water leakage error,water leakage error
Elevator height limit exceeded,elevator height limit exceeded
Door not opened or attempted to move with door open,door opened attempted move door open
Elevator does not move in overload condition,elevator move overload condition
Brake not released or brake system error,brake released brake system error
Jerk occurred during sudden stop,jerk occurred sudden stop
Vibration during deceleration or stopping,vibration deceleration stopping
Elevator stopped moving and an error occurred in the control unit,elevator stopped moving error occurred control unit
Power supply error in the elevator,power supply error elevator
Elevator does not operate in excessively high temperature,elevator operate excessively high temperature
Cabin door lock system faulty,cabin door lock system faulty
Driver fan error,driver fan error
Internal temperature error,internal temperature error
Control supply error,control supply error
Input phase error,input phase error
Capacitor voltage error,capacitor voltage error
Output phase error,output phase error
Driver overheating error,driver overheating error
DC overvoltage error,dc overvoltage error
AC overvoltage error,ac overvoltage error
DC overcurrent error,dc overcurrent error
AC overcurrent error,ac overcurrent error
Brake error,brake error
Encoder error,encoder error
Low DC voltage error,low dc voltage error
Line frequency error,line frequency error
Internal communication error,internal communication error
Software error,software error
Input signal error,input signal error
Output signal error,output signal error
Output overload error,output overload error
Driver overvoltage error,driver overvoltage error
Driver undervoltage error,driver undervoltage error
DC voltage error,dc voltage error
DC current error,dc current error
Driver overload error,driver overload error
Internal thermal protection triggered,internal thermal protection triggered
External thermal protection triggered,external thermal protection triggered
Motor protection triggered,motor protection triggered
Temperature sensor error,temperature sensor error
Fan failure,fan failure
Processor failure,processor failure
DC bus voltage high,dc bus voltage high
DC bus voltage low,dc bus voltage low
Input phase loss,input phase loss
Input voltage high,input voltage high
Input voltage low,input voltage low
Output phase loss,output phase loss
Output overcurrent,output overcurrent
DC current high,dc current high
Excessive torque,excessive torque
Software error,software error
Hardware error,hardware error
Module error,module error
Communication error,communication error
Power supply error,power supply error
Temperature sensor error,temperature sensor error
Fan failure,fan failure
Input phase loss,input phase loss
Input voltage high,input voltage high
Input voltage low,input voltage low
Output phase loss,output phase loss
Output overcurrent,output overcurrent
DC current high,dc current high
Excessive torque,excessive torque
Software error,software error
Hardware error,hardware error
Module error,module error
Communication error,communication error
Power supply error,power supply error
Temperature sensor error,temperature sensor error
Fan failure,fan failure
Input phase loss,input phase loss
Input voltage high,input voltage high
Input voltage low,input voltage low
Output phase loss,output phase loss
Output overcurrent,output overcurrent
DC current high,dc current high
Excessive torque,excessive torque
Software error,software error
Hardware error,hardware error
Module error,module error
Communication error,communication error
Power supply error,power supply error
High hydraulic oil temperature,high hydraulic oil temperature
Low hydraulic oil level,low hydraulic oil level
High hydraulic oil level,high hydraulic oil level
Electrical failure,electrical failure
Engine oil pressure low,engine oil pressure low
Engine oil pressure high,engine oil pressure high
Brake switch failure,brake switch failure
Low oil pressure,low oil pressure
High oil pressure,high oil pressure
Low fuel level,low fuel level
Hydraulic oil filter clogged,hydraulic oil filter clogged
Hydraulic oil filter pressure low,hydraulic oil filter pressure low
Hydraulic oil filter pressure high,hydraulic oil filter pressure high
Fuel filter clogged,fuel filter clogged
Engine idle speed high,engine idle speed high
Engine idle speed low,engine idle speed low
Air filter clogged,air filter clogged
Air filter pressure low,air filter pressure low
Air filter pressure high,air filter pressure high
Hydraulic oil temperature high,hydraulic oil temperature high
Hydraulic oil cooler clogged,hydraulic oil cooler clogged
Water temperature high,water temperature high
Water level low,water level low
Water level high,water level high
Fuel water separator clogged,fuel water separator clogged
Oil cooler temperature high,oil cooler temperature high
Oil cooler clogged,oil cooler clogged
Transmission oil temperature high,transmission oil temperature high
Transmission oil level low,transmission oil level low
Transmission oil level high,transmission oil level high
Transmission oil filter clogged,transmission oil filter clogged
Transmission oil filter pressure low,transmission oil filter pressure low
Transmission oil filter pressure high,transmission oil filter pressure high
Left joystick failure,left joystick failure
Right joystick failure,right joystick failure
Left pedal failure,left pedal failure
Right pedal failure,right pedal failure
Left arm failure,left arm failure
Right arm failure,right arm failure
Left steering failure,left steering failure
Right steering failure,right steering failure
Steering drive motor failure,steering drive motor failure
Safety latch disabled,safety latch disabled
Cabin safety lock failure,cabin safety lock failure
Left cheek failure,left cheek failure
Right cheek failure,right cheek failure
Left mirror failure,left mirror failure
Right mirror failure,right mirror failure
Front window failure,front window failure
Overcurrent or overheating,overcurrent overheating
Low DC voltage or DC error,low dc voltage dc error
Output phase loss or phase error,output phase loss phase error
Overspeed or excessive torque,overspeed excessive torque
Encoder error,encoder error
Power supply error,power supply error
Communication error or control card error,communication error control card error
Brake error,brake error
Low voltage or voltage fluctuation,low voltage voltage fluctuation
Air hose connection error,air hose connection error
Air pressure not detected,air pressure detected
Air pressure excessively high,air pressure excessively high
Air pressure excessively low,air pressure excessively low
Cuff issue,cuff issue
Irregular heartbeat detected,irregular heartbeat detected
Operation error,operation error
Air filter clogged,air filter clogged
Insufficient water level,insufficient water level
Medication tube clogged or medication tube connection error,medication tube clogged medication tube connection error
Nebulization nozzle clogged,nebulization nozzle clogged
Operating time exceeded,operating time exceeded
Medication tube empty or removed,medication tube empty removed
Error (usually specified with error code),error usually specified error code
Communication error,communication error
Hard disk error,hard disk error
Central processor error,central processor error
Input Output module error,input output module error
Software error,software error
Overcurrent,overcurrent
Overvoltage,overvoltage
Fan not working,fan working
Internal overheating,internal overheating
External overheating,external overheating
Driver error,driver error
Does not affect operation clear the alarm,affect operation clear alarm
Inspect load temperature perform repair,inspect load temperature perform repair
During unit output sensor control inspect load perform repair,unit output sensor control inspect load perform repair
During unit return sensor control inspect load perform repair,unit return sensor control inspect load perform repair
Unit operating at low capacity perform necessary repair,unit operating low capacity perform necessary repair
Unit operating at low capacity perform necessary repair,unit operating low capacity perform necessary repair
Unit operating at low capacity perform necessary repair,unit operating low capacity perform necessary repair
Multiple compartment unit,multiple compartment unit
Unit stopped to prevent damage repair immediately,unit stopped prevent damage repair immediately
Unit stopped to prevent damage try again repair immediately,unit stopped prevent damage try repair immediately
Unit under another sensor control (alarm3-4) repair,unit another sensor control repair
Unit stopped to prevent damage repair immediately,unit stopped prevent damage repair immediately
Check compartment temperature with a thermometer,check compartment temperature thermometer
Clear alarm repair after load,clear alarm repair load
Repair after load,repair load
Motor did not start manually clear alarm and try again,motor start manually clear alarm try
Try again in continuous operation mode repair as necessary,try continuous operation mode repair necessary
Check belt tensions and water level control,check belt tension water level control
Top up engine oil perform repair as necessary,top engine oil perform repair necessary
Check fuel operate in continuous mode perform necessary repair,check fuel operate continuous mode perform necessary repair
Check load and perform necessary repair,check load perform necessary repair
Check load perform necessary repair,check load perform necessary repair
Unit stopped to prevent damage repair immediately,unit stopped prevent damage repair immediately
Unit stopped to prevent damage repair immediately,unit stopped prevent damage repair immediately
Check alternator charging repair immediately,check alternator charging repair immediately
Check load perform necessary repair,check load perform necessary repair
Self-test & pre-load test completed check other alarms,selftest preload test completed check alarm
Unit not defrosting check load perform repair,unit defrosting check load perform repair
Defrost damper stuck closed repair immediately,defrost damper stuck closed repair immediately
Unit operating at low capacity or not working perform necessary repair,unit operating low capacity working perform necessary repair
Unit stopped to prevent damage repair immediately,unit stopped prevent damage repair immediately
Check and record engine RPM perform necessary repair,check record engine rpm perform necessary repair
Check modulation circuit breaker and fuse perform repair,check modulation circuit breaker fuse perform repair
Check operating relay circuit and perform repair,check operating relay circuit perform repair
Check incoming current inspect motor belts and perform repair,check incoming current inspect motor belt perform repair
Check and top up motor water level,check top motor water level
Current reversed voltage low or excessive load,current reversed voltage low excessive load
Unit operating at low temperature inspect load perform necessary repair,unit operating low temperature inspect load perform necessary repair
Test high RPM,test high rpm
Check water level and belt tension,check water level belt tension
Temporary high temperature perform necessary repair,temporary high temperature perform necessary repair
Temporary high temperature perform necessary repair,temporary high temperature perform necessary repair
Check tank fuel clean fuel system if necessary,check tank fuel clean fuel system necessary
Operating in low modulation circuit repair after load,operating low modulation circuit repair load
Load obstructing airflow check loading,load obstructing airflow check loading
Multiple compartment sensor failure,multiple compartment sensor failure
Clutch and belt slipping perform necessary repair,clutch belt slipping perform necessary repair
Satellite communication not working,satellite communication working
Operation normal reset hours,operation normal reset hour
Second protection circuit failure repair,second protection circuit failure repair
Unable to heat perform repair,unable heat perform repair
Low circuit heating perform necessary repair,low circuit heating perform necessary repair
Timeout shutdown during test does not affect operation,timeout shutdown test affect operation
Check engine RPM,check engine rpm
Check battery voltage and amperage,check battery voltage amperage
Ammeter calibration test,ammeter calibration test
Unknown cause check fuel in particular try restarting,unknown cause check fuel particular try restarting
Does not affect operation perform test clear alarms,affect operation perform test clear alarm
Check engine oil level top up oil,check engine oil level top oil
Operating at low capacity inspect load perform repair,operating low capacity inspect load perform repair
Clear alarm try again inspect load perform repair,clear alarm try inspect load perform repair
Does not affect operation in any way,affect operation way
Does not affect operation in any way,affect operation way
Does not affect operation in any way,affect operation way
Does not affect operation in any way,affect operation way
Retest,retest
Processor may be faulty have it repaired,processor may faulty repaired
Processor may be faulty have it repaired,processor may faulty repaired
Processor may be faulty have it repaired,processor may faulty repaired
Processor may be faulty have it repaired,processor may faulty repaired
Clear alarm,clear alarm
Compressor protection tripped have it repaired,compressor protection tripped repaired
Compressor operating at excessive temperature repair quickly,compressor operating excessive temperature repair quickly
Stopped to prevent damage repair quickly,stopped prevent damage repair quickly
Low heating capacity have it repaired,low heating capacity repaired
Check other alarms and repair if unit stops,check alarm repair unit stop
If yellow alarm operating at low capacity perform repair,yellow alarm operating low capacity perform repair
Check voltage at 380V three-phase,check voltage threephase
Check voltage,check voltage
Check sensor numbers (from menu),check sensor number menu
Check suction pressure,check suction pressure
Check circuit input,check circuit input
Check circuit input,check circuit input
For units transported on trains,unit transported train
Test sensor,test sensor
Check with indicators,check indicator
Unit operating in low heating mode,unit operating low heating mode
Unit operating in low heating mode,unit operating low heating mode
Unit operating at low capacity,unit operating low capacity
Alarm due to compartment door left open for too long close door and clear alarm,alarm due compartment door left open long close door clear alarm
High output pressure or output sensor high RPM protection,high output pressure output sensor high rpm protection
Unit operating at low capacity inspect load and perform necessary repair,unit operating low capacity inspect load perform necessary repair
Microprocessor not set for the unit urgently reset,microprocessor set unit urgently reset
Compartment fan not working perform necessary repair,compartment fan working perform necessary repair
Electric heating problem perform necessary repair,electric heating problem perform necessary repair
Stopped to prevent damage check alarms perform necessary repair,stopped prevent damage check alarm perform necessary repair
Check high-pressure switch,check highpressure switch
Check circuit,check circuit
Check circuit and relay,check circuit relay
Check circuit and relay,check circuit relay
Check circuit,check circuit
Check both circuits,check circuit
Enter set temperature,enter set temperature
Check maintenance hours,check maintenance hour
Check maintenance hours,check maintenance hour
Check maintenance hours,check maintenance hour
Check maintenance hours,check maintenance hour
Check maintenance hours,check maintenance hour
Check maintenance hours,check maintenance hour
Check connections,check connection
Check spare output,check spare output
Check damper motor heater,check damper motor heater
Sensor control,sensor control
Sensor control,sensor control
Heater does not start,heater start
Ignition cuts off,ignition cut
Low or high battery voltage,low high battery voltage
Ignition failure,ignition failure
Flame detector disabled or short circuit,flame detector disabled short circuit
Overheating sensor disabled or short circuit,overheating sensor disabled short circuit
Fuel pump disabled or short circuit,fuel pump disabled short circuit
Blower motor flow error,blower motor flow error
Ignition spark plug disabled,ignition spark plug disabled
Overheating,overheating
Low fuel level in the engine,low fuel level engine
Heater locked,heater locked
Insufficient fuel pump pressure,insufficient fuel pump pressure
Excessive battery charge,excessive battery charge
Fuel supply error,fuel supply error
Flame sensor error,flame sensor error
Combustion error,combustion error
Electrical supply error,electrical supply error
System operating normally no error,system operating normally error
Combustion sensor or ignition device may be faulty,combustion sensor ignition device may faulty
Fuel supply valve may be faulty,fuel supply valve may faulty
Error occurred during combustion Air intake or combustion gas exhaust may be restricted,error occurred combustion air intake combustion gas exhaust may restricted
Low battery voltage or ignition device may be faulty,low battery voltage ignition device may faulty
Fuel supply error or insufficient fuel supply pressure Fuel pump or fuel filter may be faulty,fuel supply error insufficient fuel supply pressure fuel pump fuel filter may faulty
Low fuel level or insufficient fuel quality,low fuel level insufficient fuel quality
Combustion sensor or ignition device may be faulty,combustion sensor ignition device may faulty
Insufficient combustion air or combustion air sensor faulty,insufficient combustion air combustion air sensor faulty
