"fault code","code description"
"100","CAN-H link to FR/CPC faulty"
"100","CAN-H link to ADM faulty"
"101","CAN-L link to FR/CPC faulty"
"101","CAN-L link to ADM faulty"
"102","Data from control unit FR/CPC faulty"
"102","Data from control unit ADM faulty"
"104","CAN link to FR/CPC faulty"
"104","CAN link to ADM faulty"
"149","CAN parameterizing error"
"204","Malfunction of high speed CAN bus to SCR frame module on Euro-4/5 engine"
"308","Crankshaft position sensor Short circuit to ground"
"309","Crankshaft position sensor Open circuit, Short circuit to positive"
"310","Crankshaft position sensor, signal too low"
"311","Crankshaft position sensor, assignment of crankshaft and camshaft signal is errored."
"312","Crankshaft position sensor, no signal"
"313","Crankshaft position sensor has incorrect polarity."
"408","Camshaft position sensor has Short circuit to ground."
"409","Camshaft position sensor has Open circuit or Short circuit to positive."
"412","Camshaft position sensor, no signal"
"413","Camshaft position sensor incorrect polarity"
"530","Control unit MR engine control detects too high engine speed."
"612","No signal 'Fan speed'."
"631","The fan rpm is too low."
"722","Temperature downstream of catalytic converter is too high."
"782","Catalytic converter is not present."
"788","Temperature upstream of catalytic converter is too high (threshold 1 exceeded)."
"789","Temperature upstream of catalytic converter is too high (threshold 2 exceeded)."
"797","Temperature upstream of catalytic converter is too high (reduced engine output)."
"815","Temperature sensor upstream of catalytic converter has Short circuit to positive,Open circuit."
"816","Temperature sensor upstream of catalytic converter has Short circuit to ground."
"915","Temperature sensor downstream of catalytic converter has Short circuit to positive, Open circuit."
"916","Temperature sensor downstream of catalytic converter has Short circuit to ground."
"1015","Oil temperature sensor has gone above measuring range (Open circuit, Short circuit to positive)."
"1016","Oil temperature sensor has gone below measuring range (Short circuit to ground)."
"1115","Fuel temperature sensor, above measuring range ( Open circuit Short circuit to positive)"
"1116","Fuel temperature sensor, below measuring range ( Short circuit to ground)"
"1215","'Charge pressure and charge air temperature' combination sensor: temperature sensor, above measured range (Open circuit Short circuit to positive)"
"1216","'Charge pressure and charge air temperature' combination sensor: temperature sensor, below measured range (Short circuit to ground)"
"1315","Atmospheric pressure sensor, above measuring range ( Open circuit Short circuit to positive)"
"1316","Atmospheric pressure sensor, below measuring range ( Short circuit to ground)"
"1415","'Charge pressure and charge air temperature' combination sensor: pressure sensor, above measured range (Open circuit Short circuit to positive)"
"1416","'Charge pressure and charge air temperature' combination sensor: pressure sensor, below measured range (Short circuit to ground)"
"1417","'Charge pressure and charge air temperature' combination sensor: pressure sensor, measured value implausible"
"1515","Coolant temperature sensor, above measuring range ( Open circuit Short circuit to positive)"
"1516","Coolant temperature sensor, below measuring range ( Short circuit to ground)"
"1615","Oil pressure sensor, above measuring range ( Open circuit Short circuit to positive)"
"1616","Oil pressure sensor, measuring range not reached (Short circuit to ground)"
"1617","Oil pressure sensor, measured value implausible"
"1715","Combined input (Pin 28):Measuring range exceeded"
"1716","Combined input (Pin 28):Readout below range"
"1717","Combined input (Pin 28):Signal implausible"
"1818","Boost circuit faulty"
"1820","Boost pressure too high"
"1822","Boost air temperature exceeded"
"1873","Turbocharger-Vehicle speed has synchronization fault."
"1874","Manipulated variable deviation of boost pressure control is too great."
"1875","Charge pressure deviation is too large."
"1876","The charge pressure for braking operation is not reached."
"1878","Boost circuit faulty"
"1917","Measured value of fuel pressure sensor is implausible."
"2017","Measured value of oil pressure sensor is implausible."
"2020","Oil pressure is too low."
"2021","Oil pressure is too low."
"2026","The engine oil level is too high or too low."
"2122","Coolant temperature is too high."
"2219","Terminal 15 of control unit MR or FR/CPC has Open circuit."
"2219","Terminal 15 of control unit MR or ADM has Open circuit."
"2319","Terminal 50 of control unit MR or FR/CPC has Open circuit."
"2319","Terminal 50 of control unit MR or ADM has Open circuit."
"2415","The differential fuel pressure sensor has Open circuit."
"2416","The differential fuel pressure sensor has Short circuit to positive,Short circuit to ground."
