Arıza Detayı,stemmed_text
NTC sensor short circuit or open circuit,ntc sensor short circuit open circuit
Heater short circuit,heater short circuit
Heater continuously operating,heater continu oper
Continuous water intake error,continu water intak error
Water drainage error,water drainag error
Motor triac short circuit,motor triac short circuit
Water level sensor error,water level sensor error
Motor open circuit,motor open circuit
Aqua stop failure,aqua stop failur
Rinse sensor,rins sensor
NTC short circuit or open circuit,ntc short circuit open circuit
Heater short circuit,heater short circuit
Heater continuously operating,heater continu oper
Valve short circuit,valv short circuit
Pump not draining water,pump drain water
Motor short circuit,motor short circuit
Water level sensor faulty,water level sensor faulti
Pump short circuit,pump short circuit
Door lock open circuit,door lock open circuit
Door lock short circuit,door lock short circuit
Motor windings open circuit,motor wind open circuit
Aqua stop failure,aqua stop failur
Motor module or communication cable faulty,motor modul commun cabl faulti
Jet pump open circuit,jet pump open circuit
Flow meter open short circuit,flow meter open short circuit
Rinse sensor short circuit,rins sensor short circuit
Laundry remains foamy,laundri remain foami
Unbalanced load in the machine,unbalanc load machin
Safe water drainage level activated,safe water drainag level activ
Communication cable fault between LCD board and main board,commun cabl fault lcd board main board
Door switch not working,door switch work
Load sensor not working,load sensor work
Communication cable fault between control panel and main board,commun cabl fault control panel main board
Main board cannot be written or read,main board written read
Level sensor control and flow meter control,level sensor control flow meter control
Mains voltage out of limits,main voltag limit
NTC short circuit or open circuit,ntc short circuit open circuit
Air duct open or flap closed,air duct open flap close
No communication with D sensor,commun sensor
Drying heater open circuit,dri heater open circuit
Overheating in the drum,overh drum
Overheating at condenser inlet,overh condens inlet
Overheating at condenser outlet,overh condens outlet
NTC short circuit or open circuit,ntc short circuit open circuit
Heater short circuit,heater short circuit
Heater continuously operating,heater continu oper
Valve triac short circuit,valv triac short circuit
Pump not draining water,pump drain water
Motor triac short circuit,motor triac short circuit
Water level sensor faulty,water level sensor faulti
Pump short circuit,pump short circuit
Door lock open circuit,door lock open circuit
Door triac short circuit,door triac short circuit
Motor triac open circuit,motor triac open circuit
Water source error + A2:A13,water sourc error
Water temperature sensor error,water temperatur sensor error
Water level error,water level error
Water drainage error,water drainag error
Water supply error,water suppli error
Electrical error,electr error
Water temperature high,water temperatur high
Water temperature low,water temperatur low
Water heating error,water heat error
Door open,door open
Water filling error,water fill error
Water pressure error,water pressur error
Water leakage error,water leakag error
Elevator height limit exceeded,elev height limit exceed
Door not opened or attempted to move with door open,door open attempt move door open
Elevator does not move in overload condition,elev move overload condit
Brake not released or brake system error,brake releas brake system error
Jerk occurred during sudden stop,jerk occur sudden stop
Vibration during deceleration or stopping,vibrat deceler stop
Elevator stopped moving and an error occurred in the control unit,elev stop move error occur control unit
Power supply error in the elevator,power suppli error elev
Elevator does not operate in excessively high temperature,elev oper excess high temperatur
Cabin door lock system faulty,cabin door lock system faulti
Driver fan error,driver fan error
Internal temperature error,intern temperatur error
Control supply error,control suppli error
Input phase error,input phase error
Capacitor voltage error,capacitor voltag error
Output phase error,output phase error
Driver overheating error,driver overh error
DC overvoltage error,dc overvoltag error
AC overvoltage error,ac overvoltag error
DC overcurrent error,dc overcurr error
AC overcurrent error,ac overcurr error
Brake error,brake error
Encoder error,encod error
Low DC voltage error,low dc voltag error
Line frequency error,line frequenc error
Internal communication error,intern commun error
Software error,softwar error
Input signal error,input signal error
Output signal error,output signal error
Output overload error,output overload error
Driver overvoltage error,driver overvoltag error
Driver undervoltage error,driver undervoltag error
DC voltage error,dc voltag error
DC current error,dc current error
Driver overload error,driver overload error
Internal thermal protection triggered,intern thermal protect trigger
External thermal protection triggered,extern thermal protect trigger
Motor protection triggered,motor protect trigger
Temperature sensor error,temperatur sensor error
Fan failure,fan failur
Processor failure,processor failur
DC bus voltage high,dc bu voltag high
DC bus voltage low,dc bu voltag low
Input phase loss,input phase loss
Input voltage high,input voltag high
Input voltage low,input voltag low
Output phase loss,output phase loss
Output overcurrent,output overcurr
DC current high,dc current high
Excessive torque,excess torqu
Software error,softwar error
Hardware error,hardwar error
Module error,modul error
Communication error,commun error
Power supply error,power suppli error
Temperature sensor error,temperatur sensor error
Fan failure,fan failur
Input phase loss,input phase loss
Input voltage high,input voltag high
Input voltage low,input voltag low
Output phase loss,output phase loss
Output overcurrent,output overcurr
DC current high,dc current high
Excessive torque,excess torqu
Software error,softwar error
Hardware error,hardwar error
Module error,modul error
Communication error,commun error
Power supply error,power suppli error
Temperature sensor error,temperatur sensor error
Fan failure,fan failur
Input phase loss,input phase loss
Input voltage high,input voltag high
Input voltage low,input voltag low
Output phase loss,output phase loss
Output overcurrent,output overcurr
DC current high,dc current high
Excessive torque,excess torqu
Software error,softwar error
Hardware error,hardwar error
Module error,modul error
Communication error,commun error
Power supply error,power suppli error
High hydraulic oil temperature,high hydraul oil temperatur
Low hydraulic oil level,low hydraul oil level
High hydraulic oil level,high hydraul oil level
Electrical failure,electr failur
Engine oil pressure low,engin oil pressur low
Engine oil pressure high,engin oil pressur high
Brake switch failure,brake switch failur
Low oil pressure,low oil pressur
High oil pressure,high oil pressur
Low fuel level,low fuel level
Hydraulic oil filter clogged,hydraul oil filter clog
Hydraulic oil filter pressure low,hydraul oil filter pressur low
Hydraulic oil filter pressure high,hydraul oil filter pressur high
Fuel filter clogged,fuel filter clog
Engine idle speed high,engin idl speed high
Engine idle speed low,engin idl speed low
Air filter clogged,air filter clog
Air filter pressure low,air filter pressur low
Air filter pressure high,air filter pressur high
Hydraulic oil temperature high,hydraul oil temperatur high
Hydraulic oil cooler clogged,hydraul oil cooler clog
Water temperature high,water temperatur high
Water level low,water level low
Water level high,water level high
Fuel water separator clogged,fuel water separ clog
Oil cooler temperature high,oil cooler temperatur high
Oil cooler clogged,oil cooler clog
Transmission oil temperature high,transmiss oil temperatur high
Transmission oil level low,transmiss oil level low
Transmission oil level high,transmiss oil level high
Transmission oil filter clogged,transmiss oil filter clog
Transmission oil filter pressure low,transmiss oil filter pressur low
Transmission oil filter pressure high,transmiss oil filter pressur high
Left joystick failure,left joystick failur
Right joystick failure,right joystick failur
Left pedal failure,left pedal failur
Right pedal failure,right pedal failur
Left arm failure,left arm failur
Right arm failure,right arm failur
Left steering failure,left steer failur
Right steering failure,right steer failur
Steering drive motor failure,steer drive motor failur
Safety latch disabled,safeti latch disabl
Cabin safety lock failure,cabin safeti lock failur
Left cheek failure,left cheek failur
Right cheek failure,right cheek failur
Left mirror failure,left mirror failur
Right mirror failure,right mirror failur
Front window failure,front window failur
Overcurrent or overheating,overcurr overh
Low DC voltage or DC error,low dc voltag dc error
Output phase loss or phase error,output phase loss phase error
Overspeed or excessive torque,overspe excess torqu
Encoder error,encod error
Power supply error,power suppli error
Communication error or control card error,commun error control card error
Brake error,brake error
Low voltage or voltage fluctuation,low voltag voltag fluctuat
Air hose connection error,air hose connect error
Air pressure not detected,air pressur detect
Air pressure excessively high,air pressur excess high
Air pressure excessively low,air pressur excess low
Cuff issue,cuff issu
Irregular heartbeat detected,irregular heartbeat detect
Operation error,oper error
Air filter clogged,air filter clog
Insufficient water level,insuffici water level
Medication tube clogged or medication tube connection error,medic tube clog medic tube connect error
Nebulization nozzle clogged,nebul nozzl clog
Operating time exceeded,oper time exceed
Medication tube empty or removed,medic tube empti remov
Error (usually specified with error code),error usual specifi error code
Communication error,commun error
Hard disk error,hard disk error
Central processor error,central processor error
Input Output module error,input output modul error
Software error,softwar error
Overcurrent,overcurr
Overvoltage,overvoltag
Fan not working,fan work
Internal overheating,intern overh
External overheating,extern overh
Driver error,driver error
Does not affect operation clear the alarm,affect oper clear alarm
Inspect load temperature perform repair,inspect load temperatur perform repair
During unit output sensor control inspect load perform repair,unit output sensor control inspect load perform repair
During unit return sensor control inspect load perform repair,unit return sensor control inspect load perform repair
Unit operating at low capacity perform necessary repair,unit oper low capac perform necessari repair
Unit operating at low capacity perform necessary repair,unit oper low capac perform necessari repair
Unit operating at low capacity perform necessary repair,unit oper low capac perform necessari repair
Multiple compartment unit,multipl compart unit
Unit stopped to prevent damage repair immediately,unit stop prevent damag repair immedi
Unit stopped to prevent damage try again repair immediately,unit stop prevent damag tri repair immedi
Unit under another sensor control (alarm3-4) repair,unit anoth sensor control repair
Unit stopped to prevent damage repair immediately,unit stop prevent damag repair immedi
Check compartment temperature with a thermometer,check compart temperatur thermomet
Clear alarm repair after load,clear alarm repair load
Repair after load,repair load
Motor did not start manually clear alarm and try again,motor start manual clear alarm tri
Try again in continuous operation mode repair as necessary,tri continu oper mode repair necessari
Check belt tensions and water level control,check belt tension water level control
Top up engine oil perform repair as necessary,top engin oil perform repair necessari
Check fuel operate in continuous mode perform necessary repair,check fuel oper continu mode perform necessari repair
Check load and perform necessary repair,check load perform necessari repair
Check load perform necessary repair,check load perform necessari repair
Unit stopped to prevent damage repair immediately,unit stop prevent damag repair immedi
Unit stopped to prevent damage repair immediately,unit stop prevent damag repair immedi
Check alternator charging repair immediately,check altern charg repair immedi
Check load perform necessary repair,check load perform necessari repair
Self-test & pre-load test completed check other alarms,selftest preload test complet check alarm
Unit not defrosting check load perform repair,unit defrost check load perform repair
Defrost damper stuck closed repair immediately,defrost damper stuck close repair immedi
Unit operating at low capacity or not working perform necessary repair,unit oper low capac work perform necessari repair
Unit stopped to prevent damage repair immediately,unit stop prevent damag repair immedi
Check and record engine RPM perform necessary repair,check record engin rpm perform necessari repair
Check modulation circuit breaker and fuse perform repair,check modul circuit breaker fuse perform repair
Check operating relay circuit and perform repair,check oper relay circuit perform repair
Check incoming current inspect motor belts and perform repair,check incom current inspect motor belt perform repair
Check and top up motor water level,check top motor water level
Current reversed voltage low or excessive load,current revers voltag low excess load
Unit operating at low temperature inspect load perform necessary repair,unit oper low temperatur inspect load perform necessari repair
Test high RPM,test high rpm
Check water level and belt tension,check water level belt tension
Temporary high temperature perform necessary repair,temporari high temperatur perform necessari repair
Temporary high temperature perform necessary repair,temporari high temperatur perform necessari repair
Check tank fuel clean fuel system if necessary,check tank fuel clean fuel system necessari
Operating in low modulation circuit repair after load,oper low modul circuit repair load
Load obstructing airflow check loading,load obstruct airflow check load
Multiple compartment sensor failure,multipl compart sensor failur
Clutch and belt slipping perform necessary repair,clutch belt slip perform necessari repair
Satellite communication not working,satellit commun work
Operation normal reset hours,oper normal reset hour
Second protection circuit failure repair,second protect circuit failur repair
Unable to heat perform repair,unabl heat perform repair
Low circuit heating perform necessary repair,low circuit heat perform necessari repair
Timeout shutdown during test does not affect operation,timeout shutdown test affect oper
Check engine RPM,check engin rpm
Check battery voltage and amperage,check batteri voltag amperag
Ammeter calibration test,ammet calibr test
Unknown cause check fuel in particular try restarting,unknown caus check fuel particular tri restart
Does not affect operation perform test clear alarms,affect oper perform test clear alarm
Check engine oil level top up oil,check engin oil level top oil
Operating at low capacity inspect load perform repair,oper low capac inspect load perform repair
Clear alarm try again inspect load perform repair,clear alarm tri inspect load perform repair
Does not affect operation in any way,affect oper way
Does not affect operation in any way,affect oper way
Does not affect operation in any way,affect oper way
Does not affect operation in any way,affect oper way
Retest,retest
Processor may be faulty have it repaired,processor may faulti repair
Processor may be faulty have it repaired,processor may faulti repair
Processor may be faulty have it repaired,processor may faulti repair
Processor may be faulty have it repaired,processor may faulti repair
Clear alarm,clear alarm
Compressor protection tripped have it repaired,compressor protect trip repair
Compressor operating at excessive temperature repair quickly,compressor oper excess temperatur repair quickli
Stopped to prevent damage repair quickly,stop prevent damag repair quickli
Low heating capacity have it repaired,low heat capac repair
Check other alarms and repair if unit stops,check alarm repair unit stop
If yellow alarm operating at low capacity perform repair,yellow alarm oper low capac perform repair
Check voltage at 380V three-phase,check voltag threephas
Check voltage,check voltag
Check sensor numbers (from menu),check sensor number menu
Check suction pressure,check suction pressur
Check circuit input,check circuit input
Check circuit input,check circuit input
For units transported on trains,unit transport train
Test sensor,test sensor
Check with indicators,check indic
Unit operating in low heating mode,unit oper low heat mode
Unit operating in low heating mode,unit oper low heat mode
Unit operating at low capacity,unit oper low capac
Alarm due to compartment door left open for too long close door and clear alarm,alarm due compart door left open long close door clear alarm
High output pressure or output sensor high RPM protection,high output pressur output sensor high rpm protect
Unit operating at low capacity inspect load and perform necessary repair,unit oper low capac inspect load perform necessari repair
Microprocessor not set for the unit urgently reset,microprocessor set unit urgent reset
Compartment fan not working perform necessary repair,compart fan work perform necessari repair
Electric heating problem perform necessary repair,electr heat problem perform necessari repair
Stopped to prevent damage check alarms perform necessary repair,stop prevent damag check alarm perform necessari repair
Check high-pressure switch,check highpressur switch
Check circuit,check circuit
Check circuit and relay,check circuit relay
Check circuit and relay,check circuit relay
Check circuit,check circuit
Check both circuits,check circuit
Enter set temperature,enter set temperatur
Check maintenance hours,check mainten hour
Check maintenance hours,check mainten hour
Check maintenance hours,check mainten hour
Check maintenance hours,check mainten hour
Check maintenance hours,check mainten hour
Check maintenance hours,check mainten hour
Check connections,check connect
Check spare output,check spare output
Check damper motor heater,check damper motor heater
Sensor control,sensor control
Sensor control,sensor control
Heater does not start,heater start
Ignition cuts off,ignit cut
Low or high battery voltage,low high batteri voltag
Ignition failure,ignit failur
Flame detector disabled or short circuit,flame detector disabl short circuit
Overheating sensor disabled or short circuit,overh sensor disabl short circuit
Fuel pump disabled or short circuit,fuel pump disabl short circuit
Blower motor flow error,blower motor flow error
Ignition spark plug disabled,ignit spark plug disabl
Overheating,overh
Low fuel level in the engine,low fuel level engin
Heater locked,heater lock
Insufficient fuel pump pressure,insuffici fuel pump pressur
Excessive battery charge,excess batteri charg
Fuel supply error,fuel suppli error
Flame sensor error,flame sensor error
Combustion error,combust error
Electrical supply error,electr suppli error
System operating normally no error,system oper normal error
Combustion sensor or ignition device may be faulty,combust sensor ignit devic may faulti
Fuel supply valve may be faulty,fuel suppli valv may faulti
Error occurred during combustion Air intake or combustion gas exhaust may be restricted,error occur combust air intak combust ga exhaust may restrict
Low battery voltage or ignition device may be faulty,low batteri voltag ignit devic may faulti
Fuel supply error or insufficient fuel supply pressure Fuel pump or fuel filter may be faulty,fuel suppli error insuffici fuel suppli pressur fuel pump fuel filter may faulti
Low fuel level or insufficient fuel quality,low fuel level insuffici fuel qualiti
Combustion sensor or ignition device may be faulty,combust sensor ignit devic may faulti
Insufficient combustion air or combustion air sensor faulty,insuffici combust air combust air sensor faulti
Combustion tube clogged or combustion tube ventilation hole clogged,combust tube clog combust tube ventil hole clog
